"","CURB_RAD","CW_DIST","SB_DIST","RAMPS_2","CRType_Dire","CRType_Blen","CWType_Cont","CWType_None","RT_LNS_05","RT_LNS_2","REC_LNS_1","CHANNEL","Skewed","EXTENSION","RTOR","Street.Lt","BIKE_LN","AADP0100","logAADP","AADT1000","logAADT","RTNotSig","OnRamp","OffRamp","popden_000_qtmi","empden_000_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","stops_qtmi","worship_qtmi","schools_qtmi","park_acre_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi"
"logAADT",0.172891534496632,-0.226564869225962,-0.223230788044769,-0.00590265805684912,0.0250849137790394,-0.144547009077537,0.0937347040059603,NA,0.0351599390664791,0.581399959521704,-0.0357682748335826,0.218281276568583,-0.0469750585635688,NA,NA,NA,-0.046905758144348,-0.0186132399919723,0.0486940308905602,0.888811495919466,1,-0.205260999052008,0.0721245436205173,0.390283798101707,-0.0341188171294839,0.00769453186805922,-0.358088148516185,0.0331554339937372,0.423122312335511,-0.303407328746222,-0.00117976109221323,-0.209774003273812,0.177091044385494,0.18956749001975,-0.217255996921887,0.0204993418120847,0.059534819646189,-0.340872426197471,0.146331800853162,-0.224852666064641
"RTNotSig",0.436533238507842,-0.307420635035011,-0.249269924476584,-0.103806849817175,0.461008389980252,-0.103806849817175,0.16361688704067,NA,-0.0857690027870236,-0.129171226611056,0.461311046663094,0.748561839520428,0.422902991436902,NA,NA,NA,0.025628391481283,-0.205951697702849,-0.276182973607492,-0.154743013173784,-0.205260999052008,1,0.456405000692396,0.106133726101046,-0.336591167131607,-0.143843220369315,-0.0534457783983259,-0.0196872656598618,-0.106229511240013,0.39757279720232,0.061202240191846,0.027879056450847,-0.184623894055286,-0.22965719176201,-0.164082530828473,0.0167915123564867,0.0496618244762135,0.231126265206199,0.338086657413256,0.0864547120095898
"OnRamp",0.418853983097817,-0.230317422975528,-0.483228100527519,-0.0777713771047819,0.254352787485791,-0.0777713771047819,0.268817204301075,NA,0.254352787485791,-0.0967741935483871,0.672021505032247,0.316358519698678,0.0065192594489724,NA,NA,NA,0.400012800614433,-0.163612078990466,-0.263424586777732,-0.0163699766915115,0.0721245436205173,0.456405000692396,1,-0.113592366849413,-0.139549248956724,-0.00792947243364028,-0.142115399476256,-0.0750214212288455,0.344267573761053,0.0646541832585861,-0.233382961752069,-0.0526178862824816,-0.245233146389833,-0.183386880971786,-0.219264504826757,-0.125656172487509,0.0937843569242247,0.0118071312368798,0.0404864277991199,0.0872420544691827
"OffRamp",0.34882977799281,-0.270343779091958,-0.219206408799761,-0.0912870929175277,0.36533850361305,-0.0912870929175277,-0.113592366849413,NA,-0.235702260395516,0.851942751370597,-0.169030850945703,0.658280588604383,0.137740088630036,NA,NA,NA,-0.169030850945703,-0.16473268038192,-0.16465658813208,0.55849285841982,0.390283798101707,0.106133726101046,-0.113592366849413,1,-0.241188280126372,-0.0176493135442714,-0.204040805290533,-0.0294828390161161,0.274533494654243,0.227340646859389,-0.0656383523180495,-0.11356754871311,0.00862411363190465,-0.257683159340169,-0.115880895590536,0.258257458170223,-0.0655272093301695,0.146916423238752,0.185289395667676,0.175174674582136
"popden_000_qtmi",-0.358234603121398,0.188711880841162,0.239624834320357,-0.0383739971845654,-0.295364598789304,0.548166126228276,-0.0798911203462979,NA,0.0503059180943639,-0.159659920400427,-0.136516846867573,-0.388715505412734,-0.430663358783973,NA,NA,NA,0.0842454978728047,0.385975372272822,0.637475044482318,-0.12484296289253,-0.0341188171294839,-0.336591167131607,-0.139549248956724,-0.241188280126372,1,0.212586311680431,0.108089599995746,-0.188659651849026,-0.144055538618161,-0.127876025086576,0.00825311080960612,0.185586277650142,0.0279332449381408,0.504450003788866,0.527684835983745,-0.0220103297979044,0.26885493187746,-0.477926170361059,-0.377893159038044,-0.34732029090673
"empden_000_qtmi",-0.122903426096291,0.110296110350636,0.283786237466208,0.429176535469176,0.0337879230805856,0.234702284585915,-0.120724676042154,NA,0.0374825723600397,0.0653328305305619,-0.150185481067928,-0.0765212775022945,-0.375751909237813,NA,NA,NA,-0.187650100594572,0.704241326634464,0.444051267328016,-0.0131670457278104,0.00769453186805922,-0.143843220369315,-0.00792947243364028,-0.0176493135442714,0.212586311680431,1,-0.291234263226747,0.327371011695684,-0.0674366727090864,0.129709062075207,-0.121119513427291,-0.102121949086421,0.247813813830856,0.239131114361611,-0.0440659743831608,0.0645832741291991,0.00786265977497908,-0.235963170848746,-0.334760409183405,-0.54028870376839
"per_res_qtmi",-0.351147902320094,-0.00552646377579471,0.0660958967107426,-0.191702881772342,-0.194880313704136,-0.119463954726135,-0.0491344617627033,NA,-0.0974896677810303,-0.164952775945681,-0.253188715782629,-0.155369632400428,0.0438412181073247,NA,NA,NA,0.295600684955389,-0.164168877865817,0.0376501869838253,-0.307074903835599,-0.358088148516185,-0.0534457783983259,-0.142115399476256,-0.204040805290533,0.108089599995746,-0.291234263226747,1,-0.658594138776442,-0.217942918793487,-0.186170628333858,-0.138180646578369,0.445592759238038,-0.480974846675745,0.26553965369082,0.411536688771113,-0.0385484977172331,0.196810535136667,0.149039147200194,0.102728484126304,0.120113662269655
"per_com_qtmi",-0.0317256919772195,0.246671300509839,0.333604329836522,0.249713926442699,0.0306340671105276,0.0667814135207334,0.0379317429808579,NA,0.162955106134537,-0.086048475454316,0.035502575973569,-0.0741946203521851,-0.126236879457766,NA,NA,NA,-0.315852448574498,0.169458881315733,-0.0620735278780539,-0.123394630845614,0.0331554339937372,-0.0196872656598618,-0.0750214212288455,-0.0294828390161161,-0.188659651849026,0.327371011695684,-0.658594138776442,1,-0.404474201018883,0.270467898467663,-0.0993537012023541,-0.286573704574829,0.340770669947233,-0.0720185717823141,-0.38620174561567,0.0472720564762207,-0.0475349120789027,0.0851230580353169,-0.0122436875601913,-0.137755656807019
"per_ind_qtmi",0.396297785115511,-0.140307380318716,-0.506277624377385,-0.0778359909753165,0.0920629152967138,-0.0749646574005946,-0.0563414422127129,NA,0.0848872195417372,0.343977472482094,0.184373156343225,0.141869117666786,0.0698756810564521,NA,NA,NA,0.184373156343225,-0.117842352131883,-0.0714263586840649,0.584723653916171,0.423122312335511,-0.106229511240013,0.344267573761053,0.274533494654243,-0.144055538618161,-0.0674366727090864,-0.217942918793487,-0.404474201018883,1,-0.108896083575944,-0.0725654130374683,-0.255172158248692,0.074636609136716,-0.277601998334666,-0.168995044128106,-0.121767148222074,-0.156289717463256,-0.270794793853007,-0.115685458672556,0.0450653124096864
"per_vac_qtmi",0.0108629455884937,0.167844246360963,0.171344986615813,0.134826825297953,0.269253384712102,0.142786859910932,0.0461800585740495,NA,0.218983015895409,-0.170133299401936,-0.0316449651015677,0.218504380246803,0.246547892505226,NA,NA,NA,-0.11322404820791,0.137692794262295,0.176566956999231,-0.191461252823279,-0.303407328746222,0.39757279720232,0.0646541832585861,0.227340646859389,-0.127876025086576,0.129709062075207,-0.186170628333858,0.270467898467663,-0.108896083575944,1,-0.468724921995161,0.134963397831885,-0.205519819190029,-0.242932050263602,0.0582892724809389,0.225934834961361,0.0838541738972916,0.0644212241033247,-0.26019694483231,-0.0764044706204093
