"","GroupSize","logGroupSize","Age_ChildTeen","Gender_Female","Gender_Unknown","OC_Load","OC_StrWhe","OC_SkaSco","OC_Bicycle","OC_Distracted","CWNum1","CDirAppr","RTQueue","VehType2_Small","VehType2_Large","PRCP_01","TEMP","TEMP_5065","TEMP_6580","TEMP_8095","Weekday_M_F","Weekend","TOD2_0611","TOD2_1805","AMPeak","PMPeak","PEDCP_ped_FDW","PEDCP_ped_SDW","VEHCP_veh_Y","VEHCP_veh_R","CURB_RAD","CW_DIST","SB_DIST","RAMPS_2","CRType_Dire","CRType_Blen","CWType_Cont","CWType_None","RT_LNS_05","RT_LNS_2","REC_LNS_1","CHANNEL","Skewed","EXTENSION","RTOR","Street.Lt","BIKE_LN","AADP0100","logAADP","AADT1000","logAADT","RTNotSig","OnRamp","OffRamp","popden_000_qtmi","empden_000_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","stops_qtmi","worship_qtmi","schools_qtmi","park_acre_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi"
"CWNum1",-0.0405845125373507,-0.0168663433735035,-0.0111262003658371,-0.0469880830368312,0.0987741403485027,-0.0789897728371478,-0.0361210824840674,0.0543851082226799,-0.04143572238219,-0.0753749425644491,1,-0.00654187528661501,-0.133446071082383,0.0111640792558589,-0.0413705408685827,0.032143464430489,-0.126703505703561,-0.0853573818327326,-0.0632661684150322,0.013502752908148,-0.024641018938446,NA,-0.0742069190981891,0.0506436606893434,0.0273841949330391,0.0382669731089578,-0.0471811701267615,0.176665317076578,0.0229271479616597,0.62814878521545,0.0805012923175083,0.189884642217722,0.0214908390255527,-0.230824876460583,-0.159369310214567,0.127146469204416,-0.178161387956365,0.0477682808942011,-0.135098774657174,0.297844531809548,-0.111259697346112,0.248652440248693,0.19088741647968,NA,NA,NA,-0.157768692358718,-0.0998992300064661,-0.147438603370135,0.122290734974067,-0.102013731070851,0.118793698585209,-0.184384868866451,0.389709478831228,-0.0342059242769804,0.0575277556522258,-0.0155715980895438,-0.139864762444296,0.0799839338774325,0.114912600196638,0.208737795821158,0.0905588164671699,0.0147108443122187,-0.226014207398953,0.0972982136398854,-0.125817225347858,-0.147957872244921,0.0482251238036183,0.232331004652623,0.0667171991396261
"CDirAppr",0.0320987664919872,0.0299508858166409,0.110494639074942,0.11886620129025,-0.0141205967863535,-0.0537854022168955,0.000375418755067829,-0.0439022499231551,-0.0628481707253335,0.0290903578732605,-0.00654187528661501,1,-0.0214657455361627,-0.0410593189094572,0.0204176255341237,0.0355955720176142,-0.0514343889791164,-0.0926881036401235,-0.00746891036565952,-0.00410611680544578,-0.111868782653841,NA,0.108816355291881,0.0112985475461274,0.155116162510374,-0.0250550594444211,0.292872936761212,0.0543588709599885,0.10964707533509,-0.0276808985089051,-0.0228017029089302,-0.0198619445730665,-0.00522072943902456,-0.0673051972942678,-0.0572477827067842,0.0352351229234167,0.155005987389656,-0.0190585421493571,0.0550701758126075,0.02362775738772,0.059287502919972,0.0341537503189864,0.0193136014604461,NA,NA,NA,0.116921414001279,0.00967622028615523,0.0220002319416278,0.0405916701056728,0.0316371403836007,0.0253914319702674,0.0397065745903015,-0.0122584886615585,0.0120375314354964,-0.0267705399793017,0.037928169509018,-0.0537254856579141,0.00928069793534139,-0.00822124588781233,0.0129608316211776,-0.0914324196502094,-0.0299698400801852,0.0239055503908569,0.105732565523874,0.0947211538763456,0.0445573171935774,0.106086122941828,-0.0090212175792558,0.0210466920723309
"RTQueue",0.0247186054122442,0.0181876984401789,0.0155583936891018,-0.00753071018915244,-0.0905580950838924,-0.0199904700267553,0.0599481219673301,0.053208987446442,-0.0172945515844432,-0.039544258567161,-0.133446071082383,-0.0214657455361627,1,0.0120802359194437,0.00160899117396098,-0.0195645564355283,0.0740290816392942,0.0771493181507951,0.00786672612935084,0.0249454646854548,0.0847667826150971,NA,-0.0408312678218263,-0.0277129561533849,0.0341184106855413,0.0261288840773557,0.043888705482217,-0.0914447058330478,0.0173294306795488,-0.105299515310123,-0.168291425302066,0.0706534305163058,0.206326993858117,0.158924769164221,-0.0647808106640867,-0.0847654122732649,-0.104720163342188,-0.0255820924774601,-0.00561038570237406,-0.0655454994790433,-0.181508772683904,-0.194448874633102,-0.205050429277026,NA,NA,NA,-0.136370219915158,0.0467798733633901,0.116054735363061,-0.0235129269243887,0.011212387040016,-0.18077811799169,-0.198790140062383,-0.104972072605242,-0.0694790321944856,-0.0571764921098015,0.119059187003363,0.146696294544553,-0.154260969789624,-0.112842523247283,0.00698009213823886,-0.0576745607840474,0.0552978210824942,0.108220073534149,-0.0514560926927614,0.0529760140438879,0.102053559494192,0.0236697742387153,-0.0603434799158321,-0.00834558785749672
"VehType2_Small",0.00136295271563957,-0.0157405710257026,0.0216819635795672,-0.0176218574151776,-0.0104772540916747,0.00254204184018633,-0.0171327908090969,-0.00978684731578068,0.00122158674551323,-0.0179929410011499,0.0111640792558589,-0.0410593189094572,0.0120802359194437,1,-0.170031271043015,-0.00576723506105588,-0.0189798737929484,0.01350478993375,-0.0366259835895542,0.0138612503690774,0.00421607878206786,NA,-0.0487162777370116,0.0431045608773953,0.0300534568960485,-0.00302523236025328,-0.0226358404512964,0.0486124209123306,-0.0218403883260238,0.00167968087285325,-0.0275883211854924,0.0370568502909128,0.0192011497368388,-0.021913703369935,-0.0428817846326291,0.0146492887594911,0.0263560577779922,-0.0200402378498887,0.0462543108494533,0.0241544902962552,0.010200574448403,0.0163775019196807,-0.00760723320292967,NA,NA,NA,-0.0308038883956464,-0.00894630635068207,0.0248451175560789,0.0336883117999755,0.0386365096202966,0.00544218683105159,0.00616142786733117,-0.00260562159966487,0.0294146227588279,-0.0378067514876049,0.020757633139766,-0.0199098133387201,-0.0109852163958959,-0.0130279782349358,-0.0319826235429418,0.0164636467767244,-0.004156333455354,0.0263256181997273,0.03082628576915,-0.0201550751667461,0.0427693277042961,-0.0369156356823369,0.0191284567344011,0.000364542294951027
"VehType2_Large",0.0806568845519181,0.0798464723474464,0.0115173390244448,0.0408485882053371,-0.0387636130939017,0.00623408968717745,-0.0208019204737127,-0.0078948614186234,-0.0199894171878779,0.043132439364134,-0.0413705408685827,0.0204176255341237,0.00160899117396098,-0.170031271043015,1,-0.0113865069728782,-5.76514316969374e-05,-0.00381860340264604,0.00776627479459496,-0.00666590674351587,0.0741600564638378,NA,0.0719710385075505,-0.0540139570821382,0.0994824739615472,-0.0835818082554139,-0.0370900040264392,-0.0139822081426125,0.00198398694556479,0.0275704042963305,0.0936118551848115,-0.0865456793606434,-0.160137551285264,-0.0432313883313368,0.0361230066147402,-0.0484348806978941,0.0215529214412511,-0.00517662822637648,0.0309784925190721,0.00810009666213149,0.0744181588413534,-0.0366431838097958,-0.0224331994276489,NA,NA,NA,0.141091011850135,-0.0762738888779223,-0.0989987499395214,0.0130386241008783,0.0125657120503703,-0.0448054297174559,0.117289557553699,-0.0108641961961784,-0.0445748357981899,-0.0517563758479274,-0.00320161999611461,-0.101350995078572,0.162913252715414,-0.0564858394518638,-0.00728523485939666,-0.0900837475824089,-0.0282402229509796,-0.0665107082876409,-0.0206359201583289,0.0336184403924116,-0.0640681841886388,0.0564589886959007,0.00334553742820077,0.0851132357926454
"PRCP_01",-0.0223540958947775,-0.048631975040686,-0.039646493887711,0.00744491400002458,0.00358250722529193,0.0344728948247241,-0.0150799909094582,-0.035520442468789,-0.0178241563302369,-0.0327914810770552,0.032143464430489,0.0355955720176142,-0.0195645564355283,-0.00576723506105588,-0.0113865069728782,1,-0.125245399559629,-0.0130288518191058,-0.099892747187143,-0.0496064949923754,0.0829946316227029,NA,-0.0861823044815642,-0.0523225234210181,-0.0513256947476878,0.0859800468678178,0.047606605399438,-0.00170788886834379,-0.0255187862414843,-0.00643281171871576,0.0177878201755471,-0.0558033375242223,-0.0309587219693566,-0.0755288556938999,-0.0347262294721113,-0.0499531908151406,0.251293923996015,-0.00375270671253889,-0.0214765769447227,-0.0233988570007421,0.0346196208958161,0.0622027632489579,0.0461183502041254,NA,NA,NA,-0.00273549840145764,-0.0853491238288639,-0.0621732898829263,0.0148768881512045,0.0549937238817376,0.0811245385186196,0.0626420461468345,-0.0306158260203899,-0.0843800966805117,-0.0572112892865572,-0.0563159401202159,0.0575527703868454,-0.0331633909285668,-0.00292468624108063,0.0510213665574371,0.0352948405516697,-0.10605511251086,0.0311390263716643,-0.0404284270959414,-0.00852915581015263,-0.0206242496700985,0.0416138344460304,0.0894747178010635,0.0441360072685258
"TEMP",-0.101120295204491,-0.142934514523197,-0.0972592129350346,-0.0293614161577893,-0.184517526154308,0.00435496708869679,0.036799102162473,0.00845151674636446,0.205946901053237,-0.16403593269244,-0.126703505703561,-0.0514343889791164,0.0740290816392942,-0.0189798737929484,-5.76514316969374e-05,-0.125245399559629,1,-0.0450429218833109,0.598287814787152,0.505467892103662,-0.00160370907172019,NA,-0.377552395551314,0.116649856117344,-0.328254922622643,0.136244234684389,-0.113389279641146,-0.0750922023145506,-0.00465864926423211,-0.169117203953448,0.245158474603625,-0.104838198658696,-0.0161661124135245,0.392928904572379,0.391875408383911,-0.235487037259495,-0.456464071047769,0.00292146719893281,0.160311835159025,0.119517363264351,0.0707952229462682,0.00057599562120544,0.0340548160751742,NA,NA,NA,-0.0143974859291049,0.0847963358137764,0.102211592011634,0.22655173801164,0.252312878507919,-0.0621161758776529,-0.0137138104955972,0.147229161667239,-0.151629276844575,-0.20041592595742,-0.0579110986083489,0.0741983163949673,0.179580632940053,0.0146086160956532,-0.295999315733286,-0.179407940530911,-0.0940347233662818,-0.00217190758739379,-0.365464883759223,-0.0195338676022726,0.227631161497787,-0.132404773600693,-0.0497987766964746,-0.00917970302347478
"TEMP_5065",-0.0488095874051566,-0.0398532976030362,-0.0380574391354762,0.0306163409097514,-0.0230801029623463,-0.00727331087939203,-0.00891366147422961,-0.0337580303954232,0.0435520454789974,-0.0525724745434147,-0.0853573818327326,-0.0926881036401235,0.0771493181507951,0.01350478993375,-0.00381860340264604,-0.0130288518191058,-0.0450429218833109,1,-0.354274801955695,-0.175932003914313,0.305568826090235,NA,0.155326442387698,0.0599096212457569,0.0202254705438224,0.0058855031387719,-0.0656756678984159,-0.060354430359786,-0.036871876628677,-0.0427581732818593,-0.0411390545085036,-0.000126274930761779,0.0146578131799858,-0.026099861423479,-0.0949059228664763,-0.127950028994123,-0.224057568742298,0.0458426922979324,0.202802247998223,-0.0538676238237559,-0.0356702103620912,-0.155875509967741,-0.0806563243936539,NA,NA,NA,-0.137665168524514,-0.105990492865242,-0.0454410695771054,-0.0845668066924334,-0.0880497671060889,-0.144221183774453,-0.0859679974314988,-0.0859596517701077,0.0337263556798186,-0.189222775604584,0.138009551804882,0.0135608060588291,-0.0814105057528184,-0.00938582010777276,-0.0864553006055456,0.0161412201342867,-0.129051500537725,0.00712334973515999,-0.130249955616456,-0.186101203056877,0.122402190612559,-0.0564203470710535,0.112003233928781,0.287265894614663
"TEMP_6580",-0.0723237715135862,-0.101671716664523,-0.103152605313198,-0.10823519033126,-0.0886250992723612,0.022889382583006,0.00230727672325174,0.014048059622631,0.106949168853111,-0.141914505404945,-0.0632661684150322,-0.00746891036565952,0.00786672612935084,-0.0366259835895542,0.00776627479459496,-0.099892747187143,0.598287814787152,-0.354274801955695,1,-0.214686283464085,-0.13291384689506,NA,-0.226855423380165,0.0585895446760523,-0.213365485132282,0.0358696263225286,-0.0785372241779321,-0.0300122054325726,-0.0128660554502658,-0.112616500215794,0.192095144802767,0.068617080821801,0.110483149028279,0.46286394474754,0.451938928483717,-0.0863654982794659,-0.306017551353022,-0.0162409107349658,0.0180438100373404,0.0488291191665968,0.039592688092825,-0.00477636589171483,-0.00582823481379207,NA,NA,NA,-0.0909172913551059,0.056910546239502,0.0442509845479257,0.093210154407562,0.100750377223452,-0.0309240744328419,0.00907598011822962,0.162444789191985,-0.211297244576623,-0.0570339809934304,-0.212807919123427,0.214292630123016,0.134116970836073,0.162789284418672,-0.249701112872546,-0.126490434444428,0.0498164285110865,-0.097168067110545,-0.362215554529215,0.125815480566456,-0.131590561827087,-0.165705576831356,-0.176937949492346,-0.0256430228722602
"TEMP_8095",-0.0402049830542506,-0.0643094355147268,-0.0466780608979057,0.0554215070085652,-0.0760905037139951,-0.0213799420366893,0.0516909929022351,0.0262043638217409,0.105911556859239,-0.050433126354085,0.013502752908148,-0.00410611680544578,0.0249454646854548,0.0138612503690774,-0.00666590674351587,-0.0496064949923754,0.505467892103662,-0.175932003914313,-0.214686283464085,1,-0.0205524385538069,NA,-0.214236985294959,0.0711864562496527,-0.110307534449422,0.0857325029230882,-0.0160998626980284,0.0181235368226484,0.0210583044964686,-0.00485631755150432,0.0899394753824994,-0.14351879086314,-0.128544209970648,-0.048270504163963,-0.0116163178653122,-0.107357793085654,-0.151967570782021,-0.0080651967208025,0.0592877904632629,0.155755660214565,0.032480901812743,0.0852464824509679,0.096528308151195,NA,NA,NA,0.0987318149061627,0.0998859107505021,0.0673074170914334,0.236048429418908,0.240841494310991,0.0125600187733977,-0.0184421259991622,0.0942730804929335,0.0243460196503444,-0.0438937097328263,0.0414320636347843,-0.113449760682058,0.12252939236287,-0.135349525493084,-0.0337538947735107,-0.0485674257259003,-0.087939053972528,0.0456572001416797,0.0035836006971588,-0.13629538509424,0.356295837925543,0.017102067212286,0.119285287012982,-0.173042295436554
