"ID","Folder","Person","TS.of.data.collection","Researcher.Initial","Signal.ID","Date","Weather","Number.of.people.in.group","Age_Child","Age_Teenager","Age_Young_adult","Age_Middle_aged_adult","Age_Older_adult_over_65","Age_Adult_of_unknown_age","Age_ChildTeen","Age_Adult","Gender_Male","Gender_Female","Gender_Unknown_gender","OC_Stroller","OC_Carrying_load","OC_Wheelchair","OC_Skateboard","OC_Scooter","OC_Bicycle","OC_Distracted","OC_Others","Crosswalk.ID","Crossing.location","Crossing.direction","Ped.TS.at.CP.1","Ped.TS.at.CP.2","Ped.TS.at.CP.Diff","RT.queue.length","About.Ped","About.overall.conflict","Vehicle","Stop.location","TS.CP","Reaction.to.conflict","Ped.Reaction","Type","About.Conflict","Encroachment_Time_Pre","Encroachment_Time_Post","Encroachment_Time","Encroachment.Car.Before.Ped","Encroachment.Car.After.Ped","Encroachment.Car.Same.Ped"
435,"2021-09-16 5030","BN",2022-01-26 21:52:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 09:40:32,2021-09-17 09:40:32,0,"1",NA,NA,1,"Did not stop",2021-09-17 09:40:35,"Driver slowed down","No obvious reaction","SUV",NA,-3,3,3,FALSE,TRUE,FALSE
436,"2021-09-16 5030","BN",2022-01-26 21:54:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 09:42:32,2021-09-17 09:42:32,0,"5+",NA,NA,1,"Inside the first crosswalk",2021-09-17 09:42:43,"Driver fully stopped","No obvious reaction","Sedan",NA,-11,11,11,FALSE,TRUE,FALSE
438,"2021-09-16 5030","BN",2022-01-30 16:55:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 09:44:56,2021-09-17 09:44:56,0,"1",NA,NA,1,"Did not stop",2021-09-17 09:44:49,"No obvious reaction","No obvious reaction","SUV",NA,7,-7,-7,TRUE,FALSE,FALSE
440,"2021-09-16 5030","BN",2022-01-30 16:59:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 09:46:32,2021-09-17 09:46:32,0,"0",NA,NA,1,"Before the first crosswalk",2021-09-17 09:46:24,"No obvious reaction","No obvious reaction","Sedan",NA,8,-8,-8,TRUE,FALSE,FALSE
440,"2021-09-16 5030","BN",2022-01-30 16:59:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 09:46:32,2021-09-17 09:46:32,0,"0",NA,NA,2,"Did not stop",2021-09-17 09:46:29,"No obvious reaction","No obvious reaction","Sedan",NA,3,-3,-3,TRUE,FALSE,FALSE
441,"2021-09-16 5030","BN",2022-01-30 17:02:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Approaching Curb",2021-09-17 09:50:45,2021-09-17 09:50:45,0,"1",NA,NA,1,"Did not stop",2021-09-17 09:50:38,"No obvious reaction","No obvious reaction","Pickup Truck",NA,7,-7,-7,TRUE,FALSE,FALSE
441,"2021-09-16 5030","BN",2022-01-30 17:02:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Approaching Curb",2021-09-17 09:50:45,2021-09-17 09:50:45,0,"1",NA,NA,2,"Did not stop",2021-09-17 09:50:42,"No obvious reaction","No obvious reaction","Sedan",NA,3,-3,-3,TRUE,FALSE,FALSE
442,"2021-09-16 5030","BN",2022-01-30 17:05:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:20:30,2021-09-17 10:20:30,0,"1",NA,NA,1,"Did not stop",2021-09-17 10:20:32,"Driver slowed down","No obvious reaction","Pickup Truck",NA,-2,2,2,FALSE,TRUE,FALSE
443,"2021-09-16 5030","BN",2022-01-30 17:08:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:28:30,2021-09-17 10:28:30,0,"2",NA,NA,1,"Inside the first crosswalk",2021-09-17 10:28:26,"No obvious reaction","No obvious reaction","Sedan",NA,4,-4,-4,TRUE,FALSE,FALSE
443,"2021-09-16 5030","BN",2022-01-30 17:08:00,"BN",5030,2021-09-17,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-17 10:28:30,2021-09-17 10:28:30,0,"2",NA,NA,2,"Did not stop",2021-09-17 10:28:31,"Driver slowed down","No obvious reaction","Sedan",NA,-1,1,1,FALSE,TRUE,FALSE
