"DV","IV","test","cor","cil","ciu","t","df","p"
"ReactDrv_None","worship_qtmi","Point-Biserial",-0.164200701109564,-0.211013625656852,-0.116636286795744,-6.72465726925083,1632,2.42655577071421e-11
"ReactDrv_None","schools_qtmi","Point-Biserial",-0.11178840012283,-0.159417346683738,-0.0636402486996019,-4.5445148651451,1632,5.91117034038228e-06
"ReactDrv_None","park_acre_qtmi","Point-Biserial",-0.0727476435739599,-0.120814581854383,-0.0243403672340018,-2.94666829355618,1632,0.00325774001017743
"ReactDrv_None","income_000_qtmi","Point-Biserial",-0.199382846565744,-0.245502301586531,-0.152362854079232,-8.21971022357082,1632,4.11083193249874e-16
"ReactDrv_None","avgveh_qtmi","Point-Biserial",0.0256269124127132,-0.0228946828462481,0.0740280589176278,1.03561663445037,1632,0.300534453023948
"ReactDrv_None","hhsize_qtmi","Point-Biserial",-0.198884411573783,-0.245014505119819,-0.151855846523834,-8.19831449117388,1632,4.8779711842131e-16
"ReactDrv_StopSlow","GroupSize","Point-Biserial",0.0253389559598133,-0.0230937001911146,0.0736529508706327,1.02585299878769,1638,0.305112347840958
"ReactDrv_StopSlow","logGroupSize","Point-Biserial",0.0800911597937243,0.0318101486990899,0.127999268847375,3.25191308429082,1638,0.00116961760380207
"ReactDrv_StopSlow","Age_ChildTeen","Phi",0.109092549615286,0.0610103867542033,0.156669579144113,4.44172688745376,1638,9.52151508529627e-06
"ReactDrv_StopSlow","Age_Child","Phi",0.0797300474804646,0.0314470791766993,0.127641773558833,3.23715695313845,1638,0.00123140442622717
"ReactDrv_StopSlow","Age_Teenager","Phi",0.093325498578203,0.0451250130570028,0.141092464729397,3.79364622054024,1638,0.000153847418074938
"ReactDrv_StopSlow","Age_Adult","Phi",-0.0913981808318168,-0.139186740626084,-0.0431849023931953,-3.71463448879433,1638,0.00021032440248018
"ReactDrv_StopSlow","Age_Young_adult","Phi",-0.0411341185459305,-0.0893605269020027,0.00728471720848973,-1.66619900882102,1638,0.0958649809270142
"ReactDrv_StopSlow","Age_Middle_aged_adult","Phi",-0.0365182147535792,-0.0847726985365228,0.0119071641995205,-1.47895943892432,1638,0.139343430324453
"ReactDrv_StopSlow","Age_Older","Phi",-0.0199521413474717,-0.0682905197841177,0.0284796948653225,-0.807668085696214,1638,0.419398950623563
"ReactDrv_StopSlow","Age_Adult_of_unknown_age","Phi",0.0381335224483817,-0.0102898021291088,0.0863784141586826,1.54447139821522,1638,0.12266733977325
"ReactDrv_StopSlow","Gender_Male","Phi",-0.0265885654405768,-0.0748965048851729,0.0218438790457316,-1.0764786521661,1638,0.281871763434282
"ReactDrv_StopSlow","Gender_Female","Phi",0.078028213892145,0.0297361932490216,0.125956818516813,3.16763209983346,1638,0.00156520313624725
"ReactDrv_StopSlow","Gender_Unknown","Phi",-0.0149886543241661,-0.0633470264323241,0.0334399382552152,-0.606692159225007,1638,0.544139302677557
"ReactDrv_StopSlow","OC_Load","Phi",0.00380752566797399,-0.0446050264472814,0.0522022361336641,0.15410010567378,1638,0.877549788246391
"ReactDrv_StopSlow","OC_StrWhe","Phi",0.0740344255298777,0.0257222721504006,0.122001553740324,3.00458253344596,1638,0.00269981951615411
"ReactDrv_StopSlow","OC_Stroller","Phi",0.0676384040228069,0.0192972516889611,0.115664052249335,2.74375935450338,1638,0.00614024586411154
"ReactDrv_StopSlow","OC_Wheelchair","Phi",0.0306584485429147,-0.01777225689271,0.078945624477899,1.24139880781216,1638,0.214636198810935
"ReactDrv_StopSlow","OC_SkaSco","Phi",-0.019806776754138,-0.0681457744739449,0.0286249983750482,-0.801781369703996,1638,0.422795734989747
"ReactDrv_StopSlow","OC_Skateboard","Phi",-0.0411814903055024,-0.0894075999244362,0.00723726756842904,-1.6681211306919,1638,0.0954828130547132
"ReactDrv_StopSlow","OC_Scooter","Phi",0.00321314027471346,-0.0451982207764772,0.0516094448387114,0.130043567904246,1638,0.896547924464062
"ReactDrv_StopSlow","OC_Bicycle","Phi",-0.0610328590462376,-0.109114837397429,-0.0126659461013352,-2.47474838384494,1638,0.0134335985338957
"ReactDrv_StopSlow","OC_Distracted","Phi",0.0460121460234756,-0.00239752508976246,0.0942066615323337,1.86418775807237,1638,0.0624741101246672
"ReactDrv_StopSlow","CWNum1","Phi",0.0452672812529622,-0.00314393890983959,0.0934668144559281,1.83394699323918,1638,0.0668431920531516
"ReactDrv_StopSlow","CWNum2","Phi",-0.0452672812529622,-0.0934668144559281,0.00314393890983959,-1.83394699323918,1638,0.0668431920531517
"ReactDrv_StopSlow","LocCross_Crosswalk","Phi",0.0130798327845507,-0.0353468774264298,0.0614452619020326,0.5294150630398,1638,0.596589291476047
"ReactDrv_StopSlow","LocCross_Away","Phi",-0.0130798327845507,-0.0614452619020326,0.0353468774264298,-0.5294150630398,1638,0.596589291476047
"ReactDrv_StopSlow","LocCross_Midblock","Phi",-0.0174965512893729,-0.0658451178513797,0.0309339783473013,-0.708232558788678,1638,0.478901618572794
"ReactDrv_StopSlow","LocCross_Middle","Phi",0.0035035078407682,-0.0449084393310067,0.0518990379209178,0.141795584733975,1638,0.887258908816001
"ReactDrv_StopSlow","CDirLeav","Phi",-0.0417628498347434,-0.089985275722012,0.00665493451028756,-1.69171087147633,1638,0.0908913225356567
