"Signal","Location","Corner","RT","Start","End","Duration","P_RT","P_P1","P_P2","P_Notes","SKEWED","CORNER","BIKE_LN","BIKE_LOC","RT_LNS","REC_LNS","CHANNEL","CURB_RAD","CW_DIST","SB_DIST","RAMPS","CR_TYPE","EXTENSION","Street.Lt","CWType1","RTOR","CWType2","RTNotSig","OnRamp","OffRamp","LAT","LONG","AAD","area_sqmi_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","worship_qtmi","schools_qtmi","park_sqmi_qtmi","popden_000_qtmi","empden_000_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi","stops_qtmi","stopden_qtmi","highway","local_road","major_road","AADT_30M_Buffer"
5345,"Redwood Rd / SR-68 @ Center St, NSL","NW","SB RT",2022-05-26 07:51:00,2022-05-27 14:52:00,31.0166666666628,6,8,6,NA,TRUE,4,FALSE,NA,1,0,FALSE,79,17,24,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.8418497,-111.9319183,24.6726314499224,0.153836963,0,61.37464505,0,27.16372249,0.098380468,39.00232991,16.66666667,0,0,0,1.364524594,14.44984948,67.068,1.951084449,3.198892478,4,26.00155327,1,0,1,9315.445854
5347,"I-15 NB @ 2600 S / SR-93 / MP 315.26, WXS","NE","WB RT",2021-11-09 08:26:00,2021-11-10 13:19:00,28.8833333331859,NA,NA,NA,"RT not signalized",TRUE,1,FALSE,NA,0.5,1,TRUE,64,NA,NA,1,"Directional",FALSE,TRUE,"No Crossing",FALSE,"Continental",TRUE,TRUE,FALSE,40.861321,-111.901384,69.7789262708548,0.129102393,3.816136875,45.06923854,0,9.484415502,0.121791175,116.1868473,6.666666667,0,0,0.011450815,3.02631377,6.00318986,70.446,1.454776926,2.880718111,2,15.49157964,1,0,0,31000
6046,"Canyon Rd / SR-198 @ 1100 E, SPF","SW","EB RT",2022-05-19 10:09:00,2022-05-20 14:37:00,28.466666666558,6,8,6,NA,TRUE,3,FALSE,NA,1,0,FALSE,11,0,15,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.10166089,-111.6357426,49.9694460016407,0.157094687,69.31426834,0,0,0,21.73926349,165.5052786,19.23076923,1,0,0.001204447,5.784627383,0.401636445,85.951,0.919521985,3.993079102,0,0,1,1,0,6427.018908
6093,"Timpanogos Hwy / 3500 N / SR-92 @ 1200 E / Micron, LHI","SE","NB RT",2021-11-10 13:28:00,2021-11-11 17:42:00,28.2333333333372,4,6,4,NA,FALSE,2,FALSE,NA,1,0,FALSE,65,25,5,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.432126,-111.83059,20.0133455304863,0.11088327,2.343876549,54.75462956,0,0,33.1733651,72.14794433,33.3333333333333,0,0,0,1.705038173,5.324189211,129.2955,1.265550239,3.920015949,0,0,1,1,0,19572.99627
6190,"Pleasant Grove Blvd @ 2000 W / North County Blvd, PLG / 700 N, LDN / SR-129, PLG","W","SEB RT",2021-11-16 15:51:00,2021-11-18 07:42:00,39.8499999999767,8,2,8,NA,FALSE,4,FALSE,NA,1,0,FALSE,37,5,12,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.354051,-111.764153,24.2935140146712,0.133204712,0.71167111,57.31814474,0,0,39.94911137,45.04345166,83.33333333,0,0,0,2.962080862,2.449092005,55.70033333,1.836386203,3.058723303,0,0,1,0,1,25013.3309
6310,"I-15 SB @ Center St / MP 270.67, ORM","NW","SB RT",2022-06-14 16:27:00,2022-06-16 07:36:00,39.1499999999651,1,2,NA,NA,FALSE,4,FALSE,NA,2,0,TRUE,60,NA,NA,1,"Directional",FALSE,TRUE,"Standard",FALSE,"No Crossing",FALSE,FALSE,TRUE,40.297167,-111.725746,60.3422979650391,0.135135215,7.91558389,39.25983925,0,0,11.93362632,51.79996941,28.57142857,0,1,0,5.299136969,5.508725681,69.412,2.198774429,3.516458354,4,29.59998252,1,0,1,73165.20839
6390,"Geneva Rd / SR-114 @ 1600 N ORM / 600 S LDN / SR-241, LDN","SE","NB RT",2022-06-14 16:28:00,2022-06-16 07:36:00,39.1333333332441,2,4,2,NA,TRUE,2,FALSE,NA,0.5,1,FALSE,41,13,10,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.32635891,-111.737335,14.3345245785095,0.121139068,0,66.748746,0,0,6.18702431,8.254975204,100,0,0,0,1.165753718,1.92479991,79.0345,2.464853048,3.64361073,0,0,1,1,0,17860.32112
6398,"800 N / SR-52 @ 1200 W, ORM","SW","EB RT",2022-06-13 07:49:00,2022-06-14 16:18:00,32.4833333333954,6,8,6,NA,FALSE,3,FALSE,NA,1,0,FALSE,34,3,5,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.31189143,-111.7228094,141.972883172407,0.146959546,6.097448866,39.51917492,0,0,17.48933731,95.26431155,28.57142857,0,0,0,5.582365602,4.718964905,69.12566667,2.064677751,3.346176619,5,34.02296841,1,1,0,23110.13119
6407,"University Ave / US-189 @ Center St, PVO","SW","EB RT",2021-11-18 07:54:00,2021-11-19 16:46:00,32.8666666665813,4,6,4,NA,FALSE,3,FALSE,NA,1,0,FALSE,19,9,18,1,"Blended",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.23375947,-111.6586908,1804.34726923045,0.139116878,5.375783739,30.58453278,0,0,28.96555723,71.88200438,90,2,0,0,12.02050952,24.46718539,29.389,1.509470056,2.60075925,9,64.69380394,1,1,0,22932.32941
7067,"Bangerter Hwy / SR-154 NB @ 9000 S / SR-209, WJD","NE","WB RT",2021-11-10 13:30:00,2021-11-11 17:42:00,28.2000000000698,NA,NA,NA,"RT not signalized",FALSE,1,TRUE,"Left",1,1,TRUE,52,NA,NA,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",TRUE,TRUE,FALSE,40.58787575,-111.9771056,25.9380186973056,0.130912239,40.42660938,34.75801831,0,0.182700972,10.45082094,76.38705166,20,0,0,0.004010692,2.701068508,13.44236471,77.75,2.385321101,3.398165138,5,38.19352583,1,0,0,21410.53548
7067,"Bangerter Hwy / SR-154 SB @ 9000 S / SR-209, WJD","NW","SB RT",2021-11-16 15:31:00,2021-11-18 07:42:00,40.1833333333489,1,2,NA,NA,FALSE,4,FALSE,NA,2,0,TRUE,70,NA,NA,1,"Directional",FALSE,TRUE,"Standard",FALSE,"No Crossing",FALSE,FALSE,TRUE,40.58787575,-111.9771056,25.9380186973056,0.130912239,40.42660938,34.75801831,0,0.182700972,10.45082094,76.38705166,20,0,0,0.004010692,2.701068508,13.44236471,77.75,2.385321101,3.398165138,5,38.19352583,1,0,0,21410.53548
7070,"I-15 SB @ 3300 S / SR-171 / MP 303.45, SSL","NW","SB RT",2022-06-02 10:03:00,2022-06-03 16:30:00,30.4500000000698,1,2,NA,NA,TRUE,4,FALSE,NA,2,0,TRUE,60,NA,NA,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"No Crossing",FALSE,FALSE,TRUE,40.69986463,-111.9021006,160.150632062353,0.108952767,3.362340545,9.918827693,23.87609092,1.140587758,18.43881614,27.53486746,66.66666667,0,0,0,1.882359572,8.003409552,38.78066667,1.513647098,3.094177662,0,0,1,0,0,136284.8187
7084,"Redwood Rd / SR-68 @ 700 N, SLC","NE","WB RT",2022-05-23 07:52:00,2022-05-24 12:14:00,28.3666666667559,8,2,8,NA,FALSE,1,FALSE,NA,0.5,0,FALSE,35,8,10,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.78476577,-111.9393179,702.520598329858,0.15938716,56.60020666,17.64751646,0,3.034734831,7.922669767,100.3844979,18.75,1,0,0.011218264,6.875565585,1.64917812,44.1554,1.530582921,3.490403733,10,62.74031117,1,0,1,18171.67664
7089,"I-80 EB @ Redwood Rd / SR-68 / MP 117.9, SLC","SE","NB RT",2022-06-02 10:04:00,2022-06-03 16:30:00,30.4333333333489,2,NA,2,NA,FALSE,2,TRUE,"Right",0.5,1,FALSE,83,0,-36,1,"Directional",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,TRUE,FALSE,40.7654339,-111.9391414,50.2748719745039,0.138392939,11.94382052,5.865212268,23.89180142,1.007741268,0.960374906,50.58061529,14.28571429,0,0,0,4.617028412,2.007134126,44.6125,1.580045888,3.431633769,1,7.225802184,1,0,0,24000
7122,"300 W / John Stockton Dr / US-89 @ 600 N / SR-268, SLC","SW","EB RT",2021-11-18 07:59:00,2021-11-19 16:46:00,32.7833333333256,4,6,4,"and 5 RT overlap",FALSE,3,FALSE,NA,1,0,FALSE,37,24,7,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.78242356,-111.8997201,222.847697860449,0.170487552,46.83607025,12.17024585,5.240815359,2.071139749,3.591069772,164.2348641,25,1,0,0.0001863,5.117994215,12.75083582,45.7612,1.537438592,2.294851763,5,29.3276543,1,1,0,14625.79595
7184,"700 E / SR-71 @ 900 S, SLC","NE","WB RT",2021-09-14 15:33:00,2021-09-16 08:35:00,41.0333333333256,8,2,8,NA,FALSE,1,TRUE,"None",1,0,FALSE,24,2,2,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.74978635,-111.871044,828.346721976381,0.15395762,47.05001876,20.97766514,0,0.695154062,4.29270794,129.9058794,25,2,0,0.024551006,8.738675592,3.271756874,50.90316667,1.492359098,2.185388052,9,58.45764573,1,1,0,27007.04685
7211,"900 E / SR-71 @ Van Winkle Expwy / SR-152, MUR","NW","SB RT",2022-05-26 07:47:00,2022-05-27 14:52:00,31.0833333331975,8,2,8,NA,TRUE,4,TRUE,"Other",1,0,FALSE,30,12,9,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.66566581,-111.8647831,145.213358021331,0.149252019,32.14509802,39.71604465,0,3.318234361,2.093543269,127.3014608,15.78947368,0,0,0,7.385022829,4.169214842,53.37683333,1.621446668,2.287147846,5,33.50038442,1,1,0,23562.10169
7215,"Highland Dr / Van Winkle Expwy / SR-152 @ 6200 S, HDY","SW","EB RT",2022-05-23 07:44:00,2022-05-24 15:10:00,31.4333333332906,4,NA,4,NA,TRUE,3,FALSE,NA,1,0,FALSE,28,14,18,1,"Directional",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,40.63851004,-111.8344819,68.3083833939903,0.152509743,47.38602165,31.21880371,0,0.028725329,6.376456417,163.9239538,16,0,0,0,3.161779595,5.310653962,81.1006,2.033014639,2.502440898,9,59.01262337,1,1,1,29125.07399
7234,"Redwood Rd / SR-68 @ 8200 S / Sugar Factory Rd, WJD","SE","NB RT",2021-11-16 15:37:00,2021-11-18 07:42:00,40.0833333333721,2,4,2,NA,FALSE,2,FALSE,NA,0.5,0,FALSE,40,15,10,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.602356,-111.938708,71.1831147690503,0.156612062,63.88047372,14.78577602,0.82113239,0.302726089,13.17158507,146.8596975,8.695652174,0,0,0.002915023,3.857814148,4.208206484,69.68266667,2.282717965,3.337247378,7,44.69642969,1,1,0,28779.32409
7252,"500 S / Cesar E Chavez Blvd / SR-269 @ Main St, SLC","NE","WB RT",2022-05-24 15:18:00,2022-05-26 07:40:00,40.3666666667559,8,2,8,NA,FALSE,1,FALSE,NA,0.5,0,FALSE,28,13,34,2,"Directional",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.7584783,-111.8910111,3357.03669542013,0.144063792,0,58.02925253,0,9.138689961,0.630118682,69.41369435,50,0,1,0.005173977,4.048141,37.16317761,38.0515,0.908178135,1.429808987,8,55.53095548,1,1,0,16809.18155
7289,"3500 S / SR-171 @ Decker Lake Dr / 2200 W, WVC","NE","WB RT",2022-06-14 16:30:00,2022-06-16 07:36:00,39.0999999999767,2,4,2,NA,FALSE,1,FALSE,NA,0.5,1,FALSE,28,5,8,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.69669668,-111.9471593,282.901287271357,0.138996221,18.73840402,40.70434763,0,3.833488033,4.101301478,64.74996176,22.22222222,0,0,0.011539097,7.078550781,4.427218526,49.268,1.9033104,3.134551183,5,35.97220098,1,1,0,21870.2755
7355,"Bangerter Hwy / 200 E / SR-154 @ 13800 S, DPR","NE","WB RT",2022-05-19 10:33:00,2022-05-20 14:38:00,28.0833333333721,8,2,8,NA,FALSE,1,FALSE,NA,1,0,FALSE,42,4,5,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.500685,-111.884915,82.1202568398197,0.136341779,21.92878665,53.41971764,0,5.173119466,11.0467955,73.34508942,21.4285714285714,0,0,0,3.404860268,22.77898754,99.58833333,1.333690947,3.468686354,0,0,1,0,1,12315.81854
7391,"Redwood Rd / SR-68 @ 14400 S / SR-140, BLF","NE","WB RT",2022-06-13 07:57:00,2022-06-14 16:18:00,32.3499999999767,8,2,8,NA,TRUE,1,TRUE,"Left",1,0,FALSE,28,5,6,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.489634,-111.939979,57.2335760275866,0.118243313,60.20602459,11.9925787,0,4.490517083,5.501756003,67.6571029,12.5,1,0,0.002961143,0.852943953,0.339756145,90.884,2.199701937,4.078986587,0,0,1,1,0,14047.36499
7391,"Redwood Rd / SR-68 @ 14400 S / SR-140, BLF","SE","NB RT",2022-06-16 07:55:00,2022-06-17 14:53:00,30.9666666666744,2,4,2,NA,TRUE,2,TRUE,"Left",1,0,FALSE,30,3,10,1,"Diagonal",FALSE,TRUE,"Continental",FALSE,"Standard",FALSE,FALSE,FALSE,40.489634,-111.939979,57.2335760275866,0.118243313,60.20602459,11.9925787,0,4.490517083,5.501756003,67.6571029,12.5,1,0,0.002961143,0.852943953,0.339756145,90.884,2.199701937,4.078986587,0,0,1,1,0,14047.36499
8102,"Bluff St / SR-18 @ 500 N, STG","SE","NB RT",2021-11-09 08:31:00,2021-11-10 13:19:00,28.7999999999302,2,4,2,NA,TRUE,2,FALSE,NA,0.5,0,FALSE,22,2,4,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,37.11670213,-113.5968546,41.6670001265843,0.126689264,23.36012668,41.3884358,0,3.756570549,7.337841933,126.2932587,25,1,0,0,2.989915474,4.590608157,38.323,1.809814287,2.946539953,5,39.46664336,1,1,0,43000
8304,"Main St / US-191 @ 300 S, MAB","SW","EB RT",2022-05-23 07:49:00,2022-05-24 15:10:00,31.3500000000349,4,6,4,NA,FALSE,3,FALSE,NA,1,0,FALSE,34,6,9,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,38.568666,-109.550753,1174.92022169665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
